maxPutTime,maxPutListTime + ,maxGetTime,maxGetListTime,maxDeleteTime,maxDeleteListTime,putRollingAverage,putListRollingAverage,getRollingAverage,getListRollingAverage,deleteRollingAverage,deleteListRollingAverage,putRollingMax,putListRollingMax,getRollingMax,getListRollingMax,deleteRollingMax,deleteListRollingMax,putPrimary,putFailover,putListPrimary,putListFailover,getPrimary,getFailover,getListPrimary,getListFailover,deletePrimary,deleteFailover,deleteListPrimary,deleteListFailover
387,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,3078,1823,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,8,0,0,0,0,0,261,0,0,0,0,0,3175,1826,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,8,0,0,0,0,0,26,0,0,0,0,0,3259,1842,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,6,0,0,0,0,0,27,0,0,0,0,0,3355,1846,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,26,0,0,0,0,0,101,0,0,0,0,0,3362,1939,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,29,0,0,0,0,0,269,0,0,0,0,0,3362,2039,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,25,0,0,0,0,0,68,0,0,0,0,0,3362,2139,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,25,0,0,0,0,0,29,0,0,0,0,0,3362,2239,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,27,0,0,0,0,0,230,0,0,0,0,0,3362,2339,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,25,0,0,0,0,0,32,0,0,0,0,0,3362,2439,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,26,0,0,0,0,0,74,0,0,0,0,0,3362,2539,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,26,0,0,0,0,0,77,0,0,0,0,0,3362,2639,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,30,0,0,0,0,0,381,0,0,0,0,0,3362,2739,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,26,0,0,0,0,0,107,0,0,0,0,0,3362,2839,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,28,0,0,0,0,0,262,0,0,0,0,0,3362,2939,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,25,0,0,0,0,0,35,0,0,0,0,0,3362,3039,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,27,0,0,0,0,0,151,0,0,0,0,0,3362,3139,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,26,0,0,0,0,0,106,0,0,0,0,0,3362,3239,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,25,0,0,0,0,0,82,0,0,0,0,0,3362,3339,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,25,0,0,0,0,0,57,0,0,0,0,0,3362,3439,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,25,0,0,0,0,0,46,0,0,0,0,0,3362,3539,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,25,0,0,0,0,0,51,0,0,0,0,0,3362,3639,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,25,0,0,0,0,0,27,0,0,0,0,0,3362,3739,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,25,0,0,0,0,0,100,0,0,0,0,0,3362,3839,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,26,0,0,0,0,0,123,0,0,0,0,0,3362,3939,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,26,0,0,0,0,0,69,0,0,0,0,0,3362,4039,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,20,0,0,0,0,0,26,0,0,0,0,0,3385,4116,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,0,3481,4120,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,7,0,0,0,0,0,53,0,0,0,0,0,3578,4123,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,3674,4127,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,0,3766,4135,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,3866,4135,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,0,3958,4143,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,4054,4147,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,25,0,0,0,0,0,4151,4150,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,0,4243,4158,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,4339,4162,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,9,0,0,0,0,0,335,0,0,0,0,0,4436,4165,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,4536,4165,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,6,0,0,0,0,0,25,0,0,0,0,0,4632,4169,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,9,0,0,0,0,0,33,0,0,0,0,0,4711,4190,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,10,0,0,0,0,0,90,0,0,0,0,0,4780,4221,0,0,0,0,0,0,0,0,0,0
